서귀포예술의전당,제주특별자치도 서귀포시 태평로 270
하얀도화지,제주특별자치도 서귀포시 하예로44번길 1
바다보석,제주특별자치도 서귀포시 중앙로4번길 20
약천사 템플스테이,제주특별자치도 서귀포시 이어도로 293-28 (대포동)
쏠피쉬,제주특별자치도 서귀포시 태평로 423
아인스호텔,제주특별자치도 서귀포시 태평로 432
하이디펜션,제주특별자치도 서귀포시 안덕면 사계북로41번길 142 (사계리) 하이디펜션
이중섭거주지,제주특별자치도 서귀포시 이중섭로 29
더쇼어호텔제주,제주도 서귀포시 중문관광로 72번길 11
하워드 존슨 호텔 제주 서귀포 하버,제주특별자치도 서귀포시 태평로 436
산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189
진고개가든,제주특별자치도 서귀포시 남성중로 155
필그림 BnB,제주특별자치도 서귀포시 속골로 66-7
월나봉(도래오름),제주특별자치도 서귀포시 안덕면 감산리 1148 일대
약천사,제주특별자치도 서귀포시 이어도로 293-28
중문스테이,제주툭별자치도 서귀포시 중문관광로 288
생원전복,제주특별자치도 서귀포시 안덕면 산방로 7
아이스크림연구소(올레시장점),서귀포시 중앙로 54번길 14
제주진미마돈가,제주특별자치도 서귀포시 안덕면 대평감산로 17
미르빌펜션,제주특별자치도 서귀포시 안덕면 사계로114번길 87
마켓오름,제주특별자치도 서귀포시 이어도로 1061
순심이네한라봉돼지갈비,제주특별자치도 서귀포시 안덕면 산방로 3
서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9
산방산에펜션,제주특별자치도 서귀포시 안덕면 사계북로41번길 151
제주 오션팰리스 호텔,제주특별자치도 서귀포시 중앙로 14
바농,서귀포시 이중섭로 19
엉덩물계곡,제주특별자치도 서귀포시 중문관광로 192
서귀본향당,제주특별자치도 서귀포시 정방동
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242
모멘토호텔,제주특별자치도 서귀포시 태평로439번길 21
남문지못,제주특별자치도 서귀포시 대정읍 인성리 392
쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14
진주식당,제주특별자치도 서귀포시 태평로 353
뉴제주펜션,제주특별자치도 서귀포시 안덕면 대평감산로 162-36
중앙식당,제주특별자치도 서귀포시 안덕면 화순로 108
수모루국수,제주특별자치도 서귀포시 일주동로 9057
뉴경남관광호텔,제주특별자치도 서귀포시 태평로 347 (서귀동)
산방산에 옛촌,제주특별자치도 서귀포시 안덕면 사계로 189
동방양꼬치구이,제주특별자치도 서귀포시 명동로 14
